stunde_des_jahres,waermeverlust_kw
197,0.0
198,53.599999999999994
199,53.867999999999995
200,52.79599999999999
201,53.331999999999994
202,51.724
203,48.239999999999995
204,45.023999999999994
205,41.272
206,39.395999999999994
207,39.931999999999995
208,41.272
209,47.168
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,56.279999999999994
223,58.15599999999999
224,60.568
225,59.227999999999994
226,55.74399999999999
227,53.867999999999995
228,50.38399999999999
229,47.971999999999994
230,44.75599999999999
231,45.291999999999994
232,46.364
233,48.775999999999996
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,54.403999999999996
247,52.79599999999999
248,53.06399999999999
249,53.06399999999999
250,51.99199999999999
251,48.775999999999996
252,46.096
253,44.75599999999999
254,41.53999999999999
255,41.004
256,41.004
257,41.53999999999999
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,43.416
271,42.879999999999995
272,42.343999999999994
273,42.07599999999999
274,41.53999999999999
275,41.272
276,40.467999999999996
277,39.931999999999995
278,39.931999999999995
279,39.395999999999994
280,39.395999999999994
281,39.395999999999994
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,42.611999999999995
295,42.611999999999995
296,43.416
297,43.684
298,40.467999999999996
299,36.715999999999994
300,35.644
301,32.964
302,30.015999999999995
303,30.015999999999995
304,31.624
305,37.251999999999995
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,48.775999999999996
319,50.11599999999999
320,50.11599999999999
321,50.651999999999994
322,47.70399999999999
323,44.488
324,42.343999999999994
325,38.86
326,37.788
327,39.395999999999994
328,39.931999999999995
329,41.004
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,46.89999999999999
343,46.364
344,45.827999999999996
345,46.096
346,45.023999999999994
347,43.416
348,41.53999999999999
349,39.663999999999994
350,36.715999999999994
351,36.715999999999994
352,36.983999999999995
353,37.788
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,46.364
367,45.827999999999996
368,45.559999999999995
369,45.023999999999994
370,44.488
371,43.684
372,41.80799999999999
373,41.272
374,40.199999999999996
375,39.395999999999994
376,39.663999999999994
377,40.736
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,43.416
391,42.879999999999995
392,42.07599999999999
393,41.80799999999999
394,41.272
395,40.467999999999996
396,39.931999999999995
397,38.324
398,37.251999999999995
399,36.44799999999999
400,35.644
401,36.983999999999995
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,38.86
415,38.324
416,38.324
417,37.788
418,36.983999999999995
419,36.17999999999999
420,34.839999999999996
421,34.303999999999995
422,33.767999999999994
423,34.035999999999994
424,34.839999999999996
425,36.17999999999999
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,37.788
439,37.251999999999995
