stunde_des_jahres,t
203,14.069999999999997
204,13.265999999999998
205,12.327999999999996
206,11.858999999999996
207,11.992999999999997
208,12.327999999999996
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,12.863999999999997
271,12.729999999999999
272,12.595999999999998
273,12.528999999999998
274,12.394999999999998
275,12.327999999999996
276,12.126999999999999
277,11.992999999999997
278,11.992999999999997
279,11.858999999999996
280,11.858999999999996
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,12.662999999999997
295,12.662999999999997
296,12.863999999999997
297,12.930999999999997
298,12.126999999999999
299,11.188999999999997
300,10.920999999999998
301,10.251
302,9.513999999999998
303,9.513999999999998
304,9.915999999999999
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,14.203999999999997
319,14.538999999999996
320,14.538999999999996
321,14.672999999999996
322,13.935999999999996
323,13.131999999999998
324,12.595999999999998
325,11.724999999999998
326,11.456999999999999
327,11.858999999999996
328,11.992999999999997
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,13.734999999999998
343,13.600999999999999
344,13.466999999999999
345,13.533999999999997
346,13.265999999999998
347,12.863999999999997
348,12.394999999999998
349,11.925999999999998
350,11.188999999999997
351,11.188999999999997
352,11.255999999999998
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,13.600999999999999
367,13.466999999999999
368,13.399999999999997
369,13.265999999999998
370,13.131999999999998
371,12.930999999999997
372,12.462
373,12.327999999999996
374,12.059999999999997
375,11.858999999999996
376,11.925999999999998
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,11.456999999999999
439,11.322999999999997
440,10.853999999999997
441,10.384999999999998
442,10.049999999999997
443,9.714999999999998
444,9.379999999999999
445,9.044999999999998
446,8.776999999999997
447,8.642999999999999
448,8.843999999999998
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
